id,date,origin_iata,destination_iata,route
1,1/4/2022,ARN,BCN,ARN-BCN
2,1/5/2022,BCN,ARN,BCN-ARN
3,6/1/2022,ARN,ORD,ARN-ORD
4,7/1/2022,ORD,,ORD-
5,7/11/2022,NCE,CDG,NCE-CDG
6,7/11/2022,CDG,ATL,CDG-ATL
7,7/19/2022,ATL,ORD,ATL-ORD
8,7/24/2022,ORD,ATL,ORD-ATL
9,1/3/2023,ATL,MIA,ATL-MIA
10,1/7/2023,MIA,ATL,MIA-ATL
11,5/18/2023,ATL,DFW,ATL-DFW
12,7/18/2023,DFW,ATL,DFW-ATL
13,7/23/2023,ATL,DFW,ATL-DFW
14,8/12/2023,DFW,ATL,DFW-ATL
15,8/13/2023,ATL,BOS,ATL-BOS
16,8/15/2023,BOS,ATL,BOS-ATL
17,8/27/2023,ATL,DTW,ATL-DTW
18,9/14/2023,DTW,ATL,DTW-ATL
19,9/17/2023,ATL,DTW,ATL-DTW
20,9/28/2023,DTW,ATL,DTW-ATL
21,10/1/2023,ATL,DTW,ATL-DTW
22,10/5/2023,DTW,BOS,DTW-BOS
23,10/8/2023,BOS,DTW,BOS-DTW
24,10/24/2023,DTW,ATL,DTW-ATL
25,10/29/2023,ATL,DTW,ATL-DTW
26,11/10/2023,DTW,ATL,DTW-ATL
27,11/12/2023,ATL,DTW,ATL-DTW
28,11/22/2023,DTW,CUN,DTW-CUN
29,11/26/2023,CUN,DTW,CUN-DTW
30,12/1/2023,DTW,ATL,DTW-ATL
31,12/3/2023,ATL,DTW,ATL-DTW
32,12/15/2023,DTW,ATL,DTW-ATL
33,12/19/2023,ATL,BOS,ATL-BOS
34,12/29/2023,BOS,ATL,BOS-ATL
35,3/15/2024,ATL,BOS,ATL-BOS
36,3/16/2024,BOS,KEF,BOS-KEF
37,3/22/2024,KEF,BOS,KEF-BOS
38,3/23/2024,BOS,ATL,BOS-ATL
39,5/8/2024,ATL,IAH,ATL-IAH
40,5/12/2024,GDL,ORD,GDL-ORD
41,5/13/2024,ORD,ATL,ORD-ATL
42,5/14/2024,ATL,MIA,ATL-MIA
43,5/18/2024,MIA,ATL,MIA-ATL
44,6/1/2024,ATL,BOS,ATL-BOS
45,6/4/2024,BOS,ORD,BOS-ORD
46,6/6/2024,ORD,BOS,ORD-BOS
47,6/21/2024,BOS,ATL,BOS-ATL
48,6/25/2024,ATL,PHL,ATL-PHL
49,6/25/2024,PHL,BOS,PHL-BOS
50,7/15/2024,BOS,DFW,BOS-DFW
51,7/17/2024,DFW,BOS,DFW-BOS
52,7/25/2024,BOS,DTW,BOS-DTW
53,7/28/2024,DTW,BOS,DTW-BOS
54,8/9/2024,BOS,CPH,BOS-CPH
55,8/16/2024,ARN,CPH,ARN-CPH
56,8/21/2024,ARN,JFK,ARN-JFK
57,8/21/2024,JFK,ATL,JFK-ATL
58,9/6/2024,ATL,BOS,ATL-BOS
59,9/7/2024,BOS,ATL,BOS-ATL
60,10/3/2024,ATL,BOS,ATL-BOS
61,10/4/2024,ATL,BOS,ATL-BOS
62,10/6/2024,BOS,ATL,BOS-ATL
63,11/15/2024,ATL,DCA,ATL-DCA
64,11/24/2024,ATL,EWR,ATL-EWR
65,11/30/2024,PHL,ATL,PHL-ATL
66,12/14/2024,ATL,MXP,ATL-MXP
68,12/19/2024,ZRH,JFK,ZRH-JFK
69,12/19/2024,JFK,BOS,JFK-BOS
70,12/28/2024,BOS,ATL,BOS-ATL
71,12/30/2024,ATL,PUJ,ATL-PUJ
72,1/2/2025,PUJ,ATL,PUJ-ATL
73,1/17/2025,ATL,SJO,ATL-SJO
74,1/20/2025,SJO,ATL,SJO-ATL
75,3/17/2025,ATL,MAD,ATL-MAD
76,3/23/2025,BCN,LIS,BCN-LIS
77,3/24/2025,LIS,IAD,LIS-IAD
78,3/24/2025,IAD,ATL,IAD-ATL
80,4/27/2025,ATL,AMS,ATL-AMS
82,4/27/2025,ATL,BCN,ATL-BCN
83,4/27/2025,ATL,MAD,ATL-MAD
85,4/28/2025,AMS,CPH,AMS-CPH
86,4/30/2025,ARN,JFK,ARN-JFK
87,4/30/2025,JFK,ATL,JFK-ATL
88,5/1/2025,ATL,ICN,ATL-ICN
89,5/7/2025,ICN,ATL,ICN-ATL
90,5/10/2025,ATL,PHL,ATL-PHL
91,5/11/2025,PHL,SFO,PHL-SFO
92,5/29/2025,SFO,PHX,SFO-PHX
93,6/2/2025,PHX,SFO,PHX-SFO
94,6/19/2025,SFO,LAX,SFO-LAX
95,7/11/2025,SFO,AUS,SFO-AUS
96,7/13/2025,AUS,SLC,AUS-SLC
97,7/13/2025,SLC,SFO,SLC-SFO
98,7/22/2025,PDX,SFO,PDX-SFO
99,7/25/2025,SFO,ORD,SFO-ORD
100,7/27/2025,ORD,SFO,ORD-SFO
101,8/3/2025,SFO,BOS,SFO-BOS
102,8/21/2025,BOS,ATL,BOS-ATL
103,8/24/2025,ATL,BOS,ATL-BOS
104,10/30/2025,BOS,ATL,BOS-ATL
105,11/2/2025,ATL,BOS,ATL-BOS
106,1/3/2026,BOS,LAX,BOS-LAX
107,1/3/2026,LAX,ATL,LAX-ATL
108,1/4/2026,MCO,ATL,MCO-ATL
109,1/5/2026,ATL,GUA,ATL-GUA
110,1/8/2026,GUA,MIA,GUA-MIA
111,1/9/2026,MIA,ATL,MIA-ATL
112,2/5/2026,ATL,BOS,ATL-BOS
113,2/9/2026,BOS,ATL,BOS-ATL
114,2/26/2026,ATL,BOS,ATL-BOS
115,3/2/2026,BOS,ATL,BOS-ATL
116,3/5/2026,ATL,EWR,ATL-EWR
117,3/8/2026,EWR,ATL,EWR-ATL
118,3/23/2026,FLL,LIM,FLL-LIM
119,3/29/2026,LIM,ATL,LIM-ATL
120,3/29/2026,LIM,FLL,LIM-FLL
121,3/30/2026,FLL,MCO,FLL-MCO
122,3/30/2026,MCO,ATL,MCO-ATL
123,4/17/2026,ATL,BOS,ATL-BOS
124,4/21/2026,BOS,ATL,BOS-ATL
125,5/4/2026,ATL,BOS,ATL-BOS
126,5/6/2026,BOS,ATL,BOS-ATL
127,5/11/2026,ATL,BOS,ATL-BOS
128,5/15/2026,BOS,EWR,BOS-EWR
129,5/25/2026,BOS,ATL,BOS-ATL
130,5/27/2026,ATL,BOS,ATL-BOS
131,5/31/2026,BOS,ATL,BOS-ATL
132,6/4/2026,ATL,EWR,ATL-EWR
133,6/9/2026,EWR,ATL,EWR-ATL
134,6/12/2026,ATL,EWR,ATL-EWR
135,6/14/2026,EWR,ATL,EWR-ATL
136,6/16/2026,ATL,EWR,ATL-EWR
137,6/17/2026,JFK,ZRH,JFK-ZRH
138,6/27/2026,MUC,HEL,MUC-HEL
139,6/27/2026,HEL,ARN,HEL-ARN
140,6/1/2022,ATL,FLL,ATL-FLL
141,6/1/2022,FLL,BOG,FLL-BOG
142,6/25/2022,BOG,ATL,BOG-ATL
143,10/10/2024,ATL,MEX,ATL-MEX
144,12/30/2025,ATL,EWR,ATL-EWR
145,12/30/2025,EWR,YYC,EWR-YYC
146,1/3/2026,YYC,LAX,YYC-LAX
147,1/3/2026,LAX,ATL,LAX-ATL
148,7/15/2026,ATL,PTY,ATL-PTY
149,7/16/2026,PTY,MDE,PTY-MDE
150,7/24/2026,MDE,PTY,MDE-PTY
151,7/24/2026,PTY,ATL,PTY-ATL
